"country","region","habitatcode","habitatgroup"
"DE","ALP","7210","Bogs, mires & fens"
"DE","ATL","7210","Bogs, mires & fens"
"DE","CON","7210","Bogs, mires & fens"
"DE","ALP","7220","Bogs, mires & fens"
"DE","ATL","7220","Bogs, mires & fens"
"DE","CON","7220","Bogs, mires & fens"
"DE","ALP","7230","Bogs, mires & fens"
"DE","ATL","7230","Bogs, mires & fens"
"DE","CON","7230","Bogs, mires & fens"
"DE","ALP","7240","Bogs, mires & fens"
"DE","ALP","8110","Rocky habitats"
"DE","CON","8110","Rocky habitats"
"DE","ALP","8120","Rocky habitats"
"DE","CON","8150","Rocky habitats"
"DE","ALP","8160","Rocky habitats"
"DE","CON","8160","Rocky habitats"
"DE","ALP","8210","Rocky habitats"
"DE","CON","8210","Rocky habitats"
"DE","ALP","8220","Rocky habitats"
"DE","CON","8220","Rocky habitats"
"DE","ATL","8230","Rocky habitats"
"DE","CON","8230","Rocky habitats"
"DE","ALP","8310","Rocky habitats"
"DE","CON","8310","Rocky habitats"
"DE","ALP","8340","Rocky habitats"
"DE","ALP","9110","Forests"
"DE","ATL","9110","Forests"
"DE","CON","9110","Forests"
"DE","ATL","9120","Forests"
"DE","ALP","9130","Forests"
"DE","ATL","9130","Forests"
"DE","CON","9130","Forests"
"DE","ALP","9140","Forests"
"DE","CON","9140","Forests"
"DE","ALP","9150","Forests"
"DE","ATL","9150","Forests"
"DE","CON","9150","Forests"
"DE","ATL","9160","Forests"
"DE","CON","9160","Forests"
"DE","ATL","9170","Forests"
"DE","CON","9170","Forests"
"DE","ALP","9180","Forests"
"DE","CON","9180","Forests"
"DE","ATL","9190","Forests"
"DE","CON","9190","Forests"
"DE","ALP","91D0","Forests"
"DE","ATL","91D0","Forests"
"DE","CON","91D0","Forests"
"DE","ALP","91E0","Forests"
"DE","ATL","91E0","Forests"
"DE","CON","91E0","Forests"
"DE","ATL","91F0","Forests"
"DE","CON","91F0","Forests"
"DE","CON","91G0","Forests"
"DE","ATL","91T0","Forests"
"DE","CON","91T0","Forests"
"DE","CON","91U0","Forests"
"DE","ALP","9410","Forests"
"DE","CON","9410","Forests"
"DE","ALP","9420","Forests"
"DK","MATL","1110","Coastal habitats"
"DK","MBAL","1110","Coastal habitats"
